airport_code,ScheduledTimeUTC,FlightNumber,AirlineID,DepartureTimeUTC,ArrivalTimeUTC,FlightStatus,Equipment,DepartureDelay,ArrivalDelay
JED,2024-07-23 22:10:00+00:00,377,SV,2024-07-23 22:10:00+00:00,2024-07-24 04:45:00+00:00,,789,0.0,395.0
JED,2024-07-23 22:10:00+00:00,627,SV,2024-07-23 22:10:00+00:00,2024-07-24 00:15:00+00:00,,320,0.0,125.0
JED,2024-07-23 22:10:00+00:00,1632,SV,2024-07-23 22:10:00+00:00,2024-07-23 23:30:00+00:00,,320,0.0,80.0
JED,2024-07-23 22:25:00+00:00,700,SV,2024-07-23 22:25:00+00:00,2024-07-24 02:25:00+00:00,,330,0.0,240.0
JED,2024-07-23 22:30:00+00:00,844,SV,2024-07-23 22:30:00+00:00,2024-07-24 06:45:00+00:00,,787,0.0,495.0
JED,2024-07-23 22:35:00+00:00,754,SV,2024-07-23 22:35:00+00:00,2024-07-24 04:10:00+00:00,,333,0.0,335.0
JED,2024-07-23 22:50:00+00:00,722,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:00:00+00:00,,773,0.0,310.0
JED,2024-07-23 22:50:00+00:00,770,SV,2024-07-23 22:50:00+00:00,2024-07-24 03:55:00+00:00,,333,0.0,305.0
JED,2024-07-23 22:50:00+00:00,818,SV,2024-07-23 22:50:00+00:00,2024-07-24 09:00:00+00:00,,773,0.0,610.0
JED,2024-07-23 22:50:00+00:00,866,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:45:00+00:00,,333,0.0,355.0
JED,2024-07-23 22:55:00+00:00,834,SV,2024-07-23 22:55:00+00:00,2024-07-24 07:55:00+00:00,,787,0.0,540.0
JED,2024-07-23 23:00:00+00:00,756,SV,2024-07-23 23:00:00+00:00,2024-07-24 04:15:00+00:00,,773,0.0,315.0
JED,2024-07-23 23:05:00+00:00,784,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:55:00+00:00,,333,0.0,350.0
JED,2024-07-23 23:05:00+00:00,796,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:15:00+00:00,,333,0.0,310.0
JED,2024-07-23 23:05:00+00:00,1547,SV,2024-07-23 23:05:00+00:00,2024-07-24 00:40:00+00:00,,321,0.0,95.0
JED,2024-07-23 23:10:00+00:00,734,SV,2024-07-23 23:10:00+00:00,2024-07-24 04:05:00+00:00,,773,0.0,295.0
JED,2024-07-23 23:10:00+00:00,1420,SV,2024-07-23 23:10:00+00:00,2024-07-24 00:15:00+00:00,,330,0.0,65.0
JED,2024-07-23 23:20:00+00:00,1254,SV,2024-07-23 23:20:00+00:00,2024-07-24 00:50:00+00:00,,321,0.0,90.0
JED,2024-07-23 23:20:00+00:00,1781,SV,2024-07-23 23:20:00+00:00,2024-07-24 01:00:00+00:00,,320,0.0,100.0
JED,2024-07-23 23:40:00+00:00,1642,SV,2024-07-23 23:40:00+00:00,2024-07-24 01:05:00+00:00,,320,0.0,85.0
JED,2024-07-23 23:50:00+00:00,808,SV,2024-07-23 23:50:00+00:00,2024-07-24 06:30:00+00:00,,777,0.0,400.0
JED,2024-07-24 00:05:00+00:00,21,SV,2024-07-24 00:05:00+00:00,2024-07-24 13:00:00+00:00,,773,0.0,775.0
JED,2024-07-24 00:05:00+00:00,1130,SV,2024-07-24 00:05:00+00:00,2024-07-24 02:15:00+00:00,,321,0.0,130.0
JED,2024-07-24 00:45:00+00:00,1422,SV,2024-07-24 00:45:00+00:00,2024-07-24 01:50:00+00:00,,330,0.0,65.0
JED,2024-07-24 01:00:00+00:00,1014,SV,2024-07-24 01:00:00+00:00,2024-07-24 02:50:00+00:00,,320,0.0,110.0
JED,2024-07-23 21:15:00+00:00,309,SV,2024-07-23 21:15:00+00:00,2024-07-23 23:30:00+00:00,,333,0.0,135.0
JED,2024-07-23 21:30:00+00:00,590,SV,2024-07-23 21:30:00+00:00,2024-07-24 00:35:00+00:00,,320,0.0,185.0
JED,2024-07-23 21:30:00+00:00,1092,SV,2024-07-23 21:30:00+00:00,2024-07-23 23:20:00+00:00,,320,0.0,110.0
JED,2024-07-23 22:00:00+00:00,435,SV,2024-07-23 22:00:00+00:00,2024-07-24 02:00:00+00:00,,333,0.0,240.0
JED,2024-07-23 22:00:00+00:00,1056,SV,2024-07-23 22:00:00+00:00,2024-07-23 23:45:00+00:00,,787,0.0,105.0
JED,2024-07-23 22:00:00+00:00,1128,SV,2024-07-23 22:00:00+00:00,2024-07-24 00:10:00+00:00,,321,0.0,130.0
JED,2024-07-23 22:10:00+00:00,377,SV,2024-07-23 22:10:00+00:00,2024-07-24 04:45:00+00:00,,789,0.0,395.0
JED,2024-07-23 22:10:00+00:00,627,SV,2024-07-23 22:10:00+00:00,2024-07-24 00:15:00+00:00,,320,0.0,125.0
JED,2024-07-23 22:10:00+00:00,1632,SV,2024-07-23 22:10:00+00:00,2024-07-23 23:30:00+00:00,,320,0.0,80.0
JED,2024-07-23 22:25:00+00:00,700,SV,2024-07-23 22:25:00+00:00,2024-07-24 02:25:00+00:00,,330,0.0,240.0
JED,2024-07-23 22:30:00+00:00,844,SV,2024-07-23 22:30:00+00:00,2024-07-24 06:45:00+00:00,,787,0.0,495.0
JED,2024-07-23 22:35:00+00:00,754,SV,2024-07-23 22:35:00+00:00,2024-07-24 04:10:00+00:00,,333,0.0,335.0
JED,2024-07-23 22:50:00+00:00,722,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:00:00+00:00,,773,0.0,310.0
JED,2024-07-23 22:50:00+00:00,770,SV,2024-07-23 22:50:00+00:00,2024-07-24 03:55:00+00:00,,333,0.0,305.0
JED,2024-07-23 22:50:00+00:00,818,SV,2024-07-23 22:50:00+00:00,2024-07-24 09:00:00+00:00,,773,0.0,610.0
JED,2024-07-23 22:50:00+00:00,866,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:45:00+00:00,,333,0.0,355.0
JED,2024-07-23 22:55:00+00:00,834,SV,2024-07-23 22:55:00+00:00,2024-07-24 07:55:00+00:00,,787,0.0,540.0
JED,2024-07-23 23:00:00+00:00,756,SV,2024-07-23 23:00:00+00:00,2024-07-24 04:15:00+00:00,,773,0.0,315.0
JED,2024-07-23 23:05:00+00:00,784,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:55:00+00:00,,333,0.0,350.0
JED,2024-07-23 23:05:00+00:00,796,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:15:00+00:00,,333,0.0,310.0
JED,2024-07-23 23:05:00+00:00,1547,SV,2024-07-23 23:05:00+00:00,2024-07-24 00:40:00+00:00,,321,0.0,95.0
JED,2024-07-23 23:10:00+00:00,734,SV,2024-07-23 23:10:00+00:00,2024-07-24 04:05:00+00:00,,773,0.0,295.0
JED,2024-07-23 23:10:00+00:00,1420,SV,2024-07-23 23:10:00+00:00,2024-07-24 00:15:00+00:00,,330,0.0,65.0
JED,2024-07-23 23:20:00+00:00,1254,SV,2024-07-23 23:20:00+00:00,2024-07-24 00:50:00+00:00,,321,0.0,90.0
JED,2024-07-23 23:20:00+00:00,1781,SV,2024-07-23 23:20:00+00:00,2024-07-24 01:00:00+00:00,,320,0.0,100.0
JED,2024-07-23 23:40:00+00:00,1642,SV,2024-07-23 23:40:00+00:00,2024-07-24 01:05:00+00:00,,320,0.0,85.0
JED,2024-07-23 23:50:00+00:00,808,SV,2024-07-23 23:50:00+00:00,2024-07-24 06:30:00+00:00,,777,0.0,400.0
JED,2024-07-24 00:05:00+00:00,21,SV,2024-07-24 00:05:00+00:00,2024-07-24 13:00:00+00:00,,773,0.0,775.0
JED,2024-07-24 00:05:00+00:00,1130,SV,2024-07-24 00:05:00+00:00,2024-07-24 02:15:00+00:00,,321,0.0,130.0
JED,2024-07-24 00:45:00+00:00,1422,SV,2024-07-24 00:45:00+00:00,2024-07-24 01:50:00+00:00,,330,0.0,65.0
JED,2024-07-24 01:00:00+00:00,1014,SV,2024-07-24 01:00:00+00:00,2024-07-24 02:50:00+00:00,,320,0.0,110.0
JED,2024-07-23 21:15:00+00:00,309,SV,2024-07-23 21:15:00+00:00,2024-07-23 23:30:00+00:00,,333,0.0,135.0
JED,2024-07-23 21:30:00+00:00,590,SV,2024-07-23 21:30:00+00:00,2024-07-24 00:35:00+00:00,,320,0.0,185.0
JED,2024-07-23 21:30:00+00:00,1092,SV,2024-07-23 21:30:00+00:00,2024-07-23 23:20:00+00:00,,320,0.0,110.0
JED,2024-07-23 22:00:00+00:00,435,SV,2024-07-23 22:00:00+00:00,2024-07-24 02:00:00+00:00,,333,0.0,240.0
JED,2024-07-23 22:00:00+00:00,1056,SV,2024-07-23 22:00:00+00:00,2024-07-23 23:45:00+00:00,,787,0.0,105.0
JED,2024-07-23 22:00:00+00:00,1128,SV,2024-07-23 22:00:00+00:00,2024-07-24 00:10:00+00:00,,321,0.0,130.0
JED,2024-07-23 22:10:00+00:00,377,SV,2024-07-23 22:10:00+00:00,2024-07-24 04:45:00+00:00,,789,0.0,395.0
JED,2024-07-23 22:10:00+00:00,627,SV,2024-07-23 22:10:00+00:00,2024-07-24 00:15:00+00:00,,320,0.0,125.0
JED,2024-07-23 22:10:00+00:00,1632,SV,2024-07-23 22:10:00+00:00,2024-07-23 23:30:00+00:00,,320,0.0,80.0
JED,2024-07-23 22:25:00+00:00,700,SV,2024-07-23 22:25:00+00:00,2024-07-24 02:25:00+00:00,,330,0.0,240.0
JED,2024-07-23 22:30:00+00:00,844,SV,2024-07-23 22:30:00+00:00,2024-07-24 06:45:00+00:00,,787,0.0,495.0
JED,2024-07-23 22:35:00+00:00,754,SV,2024-07-23 22:35:00+00:00,2024-07-24 04:10:00+00:00,,333,0.0,335.0
JED,2024-07-23 22:50:00+00:00,722,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:00:00+00:00,,773,0.0,310.0
JED,2024-07-23 22:50:00+00:00,770,SV,2024-07-23 22:50:00+00:00,2024-07-24 03:55:00+00:00,,333,0.0,305.0
JED,2024-07-23 22:50:00+00:00,818,SV,2024-07-23 22:50:00+00:00,2024-07-24 09:00:00+00:00,,773,0.0,610.0
JED,2024-07-23 22:50:00+00:00,866,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:45:00+00:00,,333,0.0,355.0
JED,2024-07-23 22:55:00+00:00,834,SV,2024-07-23 22:55:00+00:00,2024-07-24 07:55:00+00:00,,787,0.0,540.0
JED,2024-07-23 23:00:00+00:00,756,SV,2024-07-23 23:00:00+00:00,2024-07-24 04:15:00+00:00,,773,0.0,315.0
JED,2024-07-23 23:05:00+00:00,784,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:55:00+00:00,,333,0.0,350.0
JED,2024-07-23 23:05:00+00:00,796,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:15:00+00:00,,333,0.0,310.0
JED,2024-07-23 23:05:00+00:00,1547,SV,2024-07-23 23:05:00+00:00,2024-07-24 00:40:00+00:00,,321,0.0,95.0
JED,2024-07-23 23:10:00+00:00,734,SV,2024-07-23 23:10:00+00:00,2024-07-24 04:05:00+00:00,,773,0.0,295.0
JED,2024-07-23 23:10:00+00:00,1420,SV,2024-07-23 23:10:00+00:00,2024-07-24 00:15:00+00:00,,330,0.0,65.0
JED,2024-07-23 23:20:00+00:00,1254,SV,2024-07-23 23:20:00+00:00,2024-07-24 00:50:00+00:00,,321,0.0,90.0
JED,2024-07-23 23:20:00+00:00,1781,SV,2024-07-23 23:20:00+00:00,2024-07-24 01:00:00+00:00,,320,0.0,100.0
JED,2024-07-23 23:40:00+00:00,1642,SV,2024-07-23 23:40:00+00:00,2024-07-24 01:05:00+00:00,,320,0.0,85.0
JED,2024-07-23 23:50:00+00:00,808,SV,2024-07-23 23:50:00+00:00,2024-07-24 06:30:00+00:00,,777,0.0,400.0
JED,2024-07-24 00:05:00+00:00,21,SV,2024-07-24 00:05:00+00:00,2024-07-24 13:00:00+00:00,,773,0.0,775.0
JED,2024-07-24 00:05:00+00:00,1130,SV,2024-07-24 00:05:00+00:00,2024-07-24 02:15:00+00:00,,321,0.0,130.0
JED,2024-07-24 00:45:00+00:00,1422,SV,2024-07-24 00:45:00+00:00,2024-07-24 01:50:00+00:00,,330,0.0,65.0
JED,2024-07-24 01:00:00+00:00,1014,SV,2024-07-24 01:00:00+00:00,2024-07-24 02:50:00+00:00,,320,0.0,110.0
JED,2024-07-23 21:15:00+00:00,309,SV,2024-07-23 21:15:00+00:00,2024-07-23 23:30:00+00:00,,333,0.0,135.0
JED,2024-07-23 21:30:00+00:00,590,SV,2024-07-23 21:30:00+00:00,2024-07-24 00:35:00+00:00,,320,0.0,185.0
JED,2024-07-23 21:30:00+00:00,1092,SV,2024-07-23 21:30:00+00:00,2024-07-23 23:20:00+00:00,,320,0.0,110.0
JED,2024-07-23 22:00:00+00:00,435,SV,2024-07-23 22:00:00+00:00,2024-07-24 02:00:00+00:00,,333,0.0,240.0
JED,2024-07-23 22:00:00+00:00,1056,SV,2024-07-23 22:00:00+00:00,2024-07-23 23:45:00+00:00,,787,0.0,105.0
JED,2024-07-23 22:00:00+00:00,1128,SV,2024-07-23 22:00:00+00:00,2024-07-24 00:10:00+00:00,,321,0.0,130.0
JED,2024-07-23 22:10:00+00:00,377,SV,2024-07-23 22:10:00+00:00,2024-07-24 04:45:00+00:00,,789,0.0,395.0
JED,2024-07-23 22:10:00+00:00,627,SV,2024-07-23 22:10:00+00:00,2024-07-24 00:15:00+00:00,,320,0.0,125.0
JED,2024-07-23 22:10:00+00:00,1632,SV,2024-07-23 22:10:00+00:00,2024-07-23 23:30:00+00:00,,320,0.0,80.0
JED,2024-07-23 22:25:00+00:00,700,SV,2024-07-23 22:25:00+00:00,2024-07-24 02:25:00+00:00,,330,0.0,240.0
JED,2024-07-23 22:30:00+00:00,844,SV,2024-07-23 22:30:00+00:00,2024-07-24 06:45:00+00:00,,787,0.0,495.0
JED,2024-07-23 22:35:00+00:00,754,SV,2024-07-23 22:35:00+00:00,2024-07-24 04:10:00+00:00,,333,0.0,335.0
JED,2024-07-23 22:50:00+00:00,722,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:00:00+00:00,,773,0.0,310.0
JED,2024-07-23 22:50:00+00:00,770,SV,2024-07-23 22:50:00+00:00,2024-07-24 03:55:00+00:00,,333,0.0,305.0
JED,2024-07-23 22:50:00+00:00,818,SV,2024-07-23 22:50:00+00:00,2024-07-24 09:00:00+00:00,,773,0.0,610.0
JED,2024-07-23 22:50:00+00:00,866,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:45:00+00:00,,333,0.0,355.0
JED,2024-07-23 22:55:00+00:00,834,SV,2024-07-23 22:55:00+00:00,2024-07-24 07:55:00+00:00,,787,0.0,540.0
JED,2024-07-23 23:00:00+00:00,756,SV,2024-07-23 23:00:00+00:00,2024-07-24 04:15:00+00:00,,773,0.0,315.0
JED,2024-07-23 23:05:00+00:00,784,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:55:00+00:00,,333,0.0,350.0
JED,2024-07-23 23:05:00+00:00,796,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:15:00+00:00,,333,0.0,310.0
JED,2024-07-23 23:05:00+00:00,1547,SV,2024-07-23 23:05:00+00:00,2024-07-24 00:40:00+00:00,,321,0.0,95.0
JED,2024-07-23 23:10:00+00:00,734,SV,2024-07-23 23:10:00+00:00,2024-07-24 04:05:00+00:00,,773,0.0,295.0
JED,2024-07-23 23:10:00+00:00,1420,SV,2024-07-23 23:10:00+00:00,2024-07-24 00:15:00+00:00,,330,0.0,65.0
JED,2024-07-23 23:20:00+00:00,1254,SV,2024-07-23 23:20:00+00:00,2024-07-24 00:50:00+00:00,,321,0.0,90.0
JED,2024-07-23 23:20:00+00:00,1781,SV,2024-07-23 23:20:00+00:00,2024-07-24 01:00:00+00:00,,320,0.0,100.0
JED,2024-07-23 23:40:00+00:00,1642,SV,2024-07-23 23:40:00+00:00,2024-07-24 01:05:00+00:00,,320,0.0,85.0
JED,2024-07-23 23:50:00+00:00,808,SV,2024-07-23 23:50:00+00:00,2024-07-24 06:30:00+00:00,,777,0.0,400.0
JED,2024-07-24 00:05:00+00:00,21,SV,2024-07-24 00:05:00+00:00,2024-07-24 13:00:00+00:00,,773,0.0,775.0
JED,2024-07-24 00:05:00+00:00,1130,SV,2024-07-24 00:05:00+00:00,2024-07-24 02:15:00+00:00,,321,0.0,130.0
JED,2024-07-24 00:45:00+00:00,1422,SV,2024-07-24 00:45:00+00:00,2024-07-24 01:50:00+00:00,,330,0.0,65.0
JED,2024-07-24 01:00:00+00:00,1014,SV,2024-07-24 01:00:00+00:00,2024-07-24 02:50:00+00:00,,320,0.0,110.0
JED,2024-07-23 21:15:00+00:00,309,SV,2024-07-23 21:15:00+00:00,2024-07-23 23:30:00+00:00,,333,0.0,135.0
JED,2024-07-23 21:30:00+00:00,590,SV,2024-07-23 21:30:00+00:00,2024-07-24 00:35:00+00:00,,320,0.0,185.0
JED,2024-07-23 21:30:00+00:00,1092,SV,2024-07-23 21:30:00+00:00,2024-07-23 23:20:00+00:00,,320,0.0,110.0
JED,2024-07-23 22:00:00+00:00,435,SV,2024-07-23 22:00:00+00:00,2024-07-24 02:00:00+00:00,,333,0.0,240.0
JED,2024-07-23 22:00:00+00:00,1056,SV,2024-07-23 22:00:00+00:00,2024-07-23 23:45:00+00:00,,787,0.0,105.0
JED,2024-07-23 22:00:00+00:00,1128,SV,2024-07-23 22:00:00+00:00,2024-07-24 00:10:00+00:00,,321,0.0,130.0
JED,2024-07-23 22:10:00+00:00,377,SV,2024-07-23 22:10:00+00:00,2024-07-24 04:45:00+00:00,,789,0.0,395.0
JED,2024-07-23 22:10:00+00:00,627,SV,2024-07-23 22:10:00+00:00,2024-07-24 00:15:00+00:00,,320,0.0,125.0
JED,2024-07-23 22:10:00+00:00,1632,SV,2024-07-23 22:10:00+00:00,2024-07-23 23:30:00+00:00,,320,0.0,80.0
JED,2024-07-23 22:25:00+00:00,700,SV,2024-07-23 22:25:00+00:00,2024-07-24 02:25:00+00:00,,330,0.0,240.0
JED,2024-07-23 22:30:00+00:00,844,SV,2024-07-23 22:30:00+00:00,2024-07-24 06:45:00+00:00,,787,0.0,495.0
JED,2024-07-23 22:35:00+00:00,754,SV,2024-07-23 22:35:00+00:00,2024-07-24 04:10:00+00:00,,333,0.0,335.0
JED,2024-07-23 22:50:00+00:00,722,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:00:00+00:00,,773,0.0,310.0
JED,2024-07-23 22:50:00+00:00,770,SV,2024-07-23 22:50:00+00:00,2024-07-24 03:55:00+00:00,,333,0.0,305.0
JED,2024-07-23 22:50:00+00:00,818,SV,2024-07-23 22:50:00+00:00,2024-07-24 09:00:00+00:00,,773,0.0,610.0
JED,2024-07-23 22:50:00+00:00,866,SV,2024-07-23 22:50:00+00:00,2024-07-24 04:45:00+00:00,,333,0.0,355.0
JED,2024-07-23 22:55:00+00:00,834,SV,2024-07-23 22:55:00+00:00,2024-07-24 07:55:00+00:00,,787,0.0,540.0
JED,2024-07-23 23:00:00+00:00,756,SV,2024-07-23 23:00:00+00:00,2024-07-24 04:15:00+00:00,,773,0.0,315.0
JED,2024-07-23 23:05:00+00:00,784,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:55:00+00:00,,333,0.0,350.0
JED,2024-07-23 23:05:00+00:00,796,SV,2024-07-23 23:05:00+00:00,2024-07-24 04:15:00+00:00,,333,0.0,310.0
JED,2024-07-23 23:05:00+00:00,1547,SV,2024-07-23 23:05:00+00:00,2024-07-24 00:40:00+00:00,,321,0.0,95.0
JED,2024-07-23 23:10:00+00:00,734,SV,2024-07-23 23:10:00+00:00,2024-07-24 04:05:00+00:00,,773,0.0,295.0
JED,2024-07-23 23:10:00+00:00,1420,SV,2024-07-23 23:10:00+00:00,2024-07-24 00:15:00+00:00,,330,0.0,65.0
JED,2024-07-23 23:20:00+00:00,1254,SV,2024-07-23 23:20:00+00:00,2024-07-24 00:50:00+00:00,,321,0.0,90.0
JED,2024-07-23 23:20:00+00:00,1781,SV,2024-07-23 23:20:00+00:00,2024-07-24 01:00:00+00:00,,320,0.0,100.0
JED,2024-07-23 23:40:00+00:00,1642,SV,2024-07-23 23:40:00+00:00,2024-07-24 01:05:00+00:00,,320,0.0,85.0
JED,2024-07-23 23:50:00+00:00,808,SV,2024-07-23 23:50:00+00:00,2024-07-24 06:30:00+00:00,,777,0.0,400.0
JED,2024-07-24 00:05:00+00:00,21,SV,2024-07-24 00:05:00+00:00,2024-07-24 13:00:00+00:00,,773,0.0,775.0
JED,2024-07-24 00:05:00+00:00,1130,SV,2024-07-24 00:05:00+00:00,2024-07-24 02:15:00+00:00,,321,0.0,130.0
JED,2024-07-24 00:45:00+00:00,1422,SV,2024-07-24 00:45:00+00:00,2024-07-24 01:50:00+00:00,,330,0.0,65.0
JED,2024-07-24 01:00:00+00:00,1014,SV,2024-07-24 01:00:00+00:00,2024-07-24 02:50:00+00:00,,320,0.0,110.0
JED,2024-07-23 21:15:00+00:00,309,SV,2024-07-23 21:15:00+00:00,2024-07-23 23:30:00+00:00,,333,0.0,135.0
JED,2024-07-23 21:30:00+00:00,590,SV,2024-07-23 21:30:00+00:00,2024-07-24 00:35:00+00:00,,320,0.0,185.0
JED,2024-07-23 21:30:00+00:00,1092,SV,2024-07-23 21:30:00+00:00,2024-07-23 23:20:00+00:00,,320,0.0,110.0
