CityCode,CountryCode,Latitude,Longitude,cityName
AIO,US,,,Atlantic
AIP,MH,,,Ailinglapalap Island
AIR,BR,,,Aripuana
AIS,KI,,,Arorae Island
AIT,CK,-17.16833333,-158.2333333,Aitutaki
AIU,CK,-18.03333333,-157.875,Atiu Island
AIV,US,33.10638889,-87.80222222,Aliceville
AIY,US,39.4575,-73.42305556,Atlantic City
AIZ,US,38.09583333,-91.45055556,Kaiser/Lake Ozark
AJA,FR,41.92388889,8.8025,Ajaccio
AJF,SA,,,Al-Jouf
AJI,TR,,,Agri
AJJ,MR,19.73333333,-13.61666667,Akjoujt
AJL,IN,23.74583333,92.80277778,Aizawl
AJN,KM,-11.86916667,44.42944444,Anjouan
AJO,YE,29.785,40.09944444,Aljouf
AJR,SE,65.59027778,19.28194444,Arvidsjaur
AJS,MX,,,Abreojos
AJU,BR,-9.014722222,-36.92666667,Aracaju
AJY,NE,16.96222222,7.990277778,Agades
AKA,CN,52.22055556,-173.7938889,Ankang
AKB,US,,,Atka
AKD,IN,20.69833333,77.0575,Akola
AKE,GA,,,Akieni
AKF,LY,24.17694444,23.31527778,Kufrah
AKG,PG,,,Anguganak
AKI,US,60.90277778,-160.7694444,Akiak
AKJ,JP,43.67083333,142.4475,Asahikawa
AKK,US,56.93861111,-153.8175,Akhiok
AKL,NZ,-37.008056,174.791667,Auckland
AKM,TD,,,Zakouma
AKN,US,58.67638889,-155.3513889,King Salmon
AKO,US,40.17555556,-102.7780556,Akron
AKP,US,68.13333333,-150.2566667,Anaktuvuk Pass
AKQ,ID,,,Astraksetra
AKR,NG,7.25,5.304166667,Akure
AKS,SB,,,Auki
AKT,CY,34.59027778,32.98777778,Akrotiri
AKU,CN,,,Aksu
AKV,CA,36.77305556,-97.33027778,Akulivik
AKX,KZ,50.24583333,57.20666667,Aktobe
AKY,MM,20.1325,92.8725,Sittwe
ALA,KZ,43.352072,77.040508,Almaty
ALB,US,42.74888889,-72.19805556,Albany
ALC,ES,38.28222222,-0.541944444,Alicante
ALD,PE,-10.31666667,-68.66666667,Alerta
ALE,US,,,Alpine
ALF,NO,69.97611111,23.37166667,Alta
ALG,DZ,36.691014,3.215408,Algiers
ALH,AU,-33.05666667,117.8088889,Albany
ALI,US,27.74083333,-97.97305556,Alice
ALJ,NA,-27.42694444,16.53416667,Alexander Bay
ALK,ET,,,Asela
ALL,IT,44.04583333,8.125555556,Albenga
ALM,US,32.83972222,-104.0094444,Alamogordo
ALN,US,38.88972222,-89.95416667,Alton
ALO,US,42.55694444,-91.59972222,Waterloo
ALP,SY,36.17972222,37.22611111,Aleppo
ALQ,BR,,,Alegrete
ALR,NZ,,,Alexandra
ALS,US,37.43472222,-104.1336111,Alamosa
ALT,BR,,,Alenquer
ALU,SO,,,Alula
ALW,US,,,Walla Walla
ALX,US,32.91472222,-84.03722222,Alexander City
ALY,EG,30.91805556,29.69555556,Alexandria
ALZ,US,,,Alitak
AMA,US,35.16972222,-100.1741667,Amarillo
AMB,MG,-12.81666667,48.98333333,Ambilobe
AMC,TD,11.03333333,20.28333333,Am Timan
AMD,IN,23.07111111,72.62638889,Ahmedabad
AME,MZ,,,Alto Molocue
AMF,PG,,,Ama
AMG,PG,31.53583333,-81.49361111,Amboin
AMH,ET,6.028611111,37.58388889,Arba Mintch
AMI,ID,-7.438055556,116.0994444,Mataram
AMJ,BR,-15.81611111,-39.33277778,Almenara
AML,PA,,,Puerto Armuellas
AMM,JO,31.7225,35.993333,Amman
AMN,US,43.32194444,-83.31222222,Alma
AMO,TD,,,Mao
AMP,MG,,,Ampanihy
AMQ,ID,-2.293055556,128.0894444,Ambon
AMR,MH,,,Arno
AMS,NL,52.308614,4.763889,Amsterdam
AMT,AU,,,Amata
AMU,PG,,,Amanab
AMV,RU,,,Amderma
AMW,US,41.99194444,-92.37833333,Ames
AMX,AU,,,Ammaroo
AMY,MG,,,Ambatomainty
AMZ,NZ,-36.97027778,174.9733333,Ardmore
ANA,US,,,Anaheim
ANB,US,33.58805556,-84.14194444,Anniston
ANC,US,61.17416667,-148.0038889,Anchorage
AND,US,34.49444444,-81.29083333,Anderson
ANE,FR,47.56027778,-0.287777778,Angers
ANF,CL,-22.55555556,-69.555,Antofagasta
ANG,FR,45.72944444,0.218888889,Angouleme
ANH,SB,,,Anuha Island
ANI,US,61.58138889,-158.4572222,Aniak
ANJ,CG,-1.15,13.81666667,Zanaga
ANK,TR,39.9575,32.67472222,Ankara
ANL,AO,,,Andulo
ANM,MG,,,Antalaha
ANN,US,,,Annette Island
ANO,MZ,,,Angoche
ANP,US,,,Annapolis
ANQ,US,41.63944444,-84.91666667,Angola
ANR,BE,51.18944444,4.460277778,Antwerp
ANS,PE,-12.29138889,-72.63527778,Andahuaylas
ANT,AT,,,Saint Anton
ANU,AG,17.13666667,-60.2075,Antigua
ANV,US,62.64722222,-159.81,Anvik
ANW,US,42.57916667,-98.00722222,Ainsworth
ANX,NO,69.2925,16.14416667,Andenes
ANY,US,,,Anthony
ANZ,AU,,,Angus Downs
AOA,PG,,,Aroa
AOB,PG,,,Annanberg
AOC,DE,50.98166667,12.50611111,Altenburg
AOD,TD,,,Abou Deia
AOG,CN,,,Anshan
AOH,US,40.70722222,-83.97305556,Lima
AOI,IT,43.616111,13.362222,Ancona
AOJ,JP,,,Aomori
AOK,GR,35.42111111,27.14583333,Karpathos
AOL,AR,-28.31194444,-56.84777778,Paso de los Libres
AON,PG,,,Arona
AOO,US,40.29611111,-77.68,Altoona
AOR,MY,6.194444444,100.4008333,Alor Setar
AOS,US,,,Amook
AOU,LA,14.8,106.8166667,Attopeu
APB,BO,-13.26444444,-67.58805556,Apolo
APC,US,38.21305556,-121.7194444,Napa
APE,PE,,,San Juan Aposento
APF,US,26.15222222,-80.22444444,Naples
APH,US,,,Bowling Green
API,CO,,,Apiay
APK,PF,-14.42638889,-145.585,Apataki
APL,MZ,-14.9,39.28333333,Nampula
APN,US,45.07805556,-82.43972222,Alpena
APO,CO,,,Apartado
APP,PG,,,Asapa
APQ,BR,,,Arapiraca
APR,PG,,,April River
APS,BR,-15.6375,-47.07194444,Anapolis
APT,US,,,Jasper
APU,BR,-22.38777778,-50.615,Apucarana
APV,US,34.57527778,-116.8138889,Apple Valley
APW,WS,-12.17055556,-170.0030556,Apia
APX,BR,,,Arapongas
APY,BR,-8.916388889,-44.04944444,Alto Parnaiba
APZ,AR,,,Zapala
AQA,BR,-20.19555556,-47.85972222,Araraquara
AQG,CN,,,Anqing
AQI,SA,28.335,46.12472222,Qaisumah
AQJ,JO,29.61138889,35.01805556,Aqaba
AQM,BR,,,Ariquemes
AQP,PE,,,Arequipa
AQS,FJ,,,Saqani
AQY,US,,,Alyeska
ARB,US,,,Ann Arbor
ARC,US,,,Arctic Village
ARD,ID,,,Alor Island
ARE,PR,,,Arecibo
ARF,CO,,,Acaricuara
ARG,US,36.12444444,-89.075,Walnut Ridge
ARH,RU,64.6,40.71833333,Arkhangelsk
ARI,CL,-17.65138889,-69.66138889,Arica
ARJ,ID,,,Arso
ARK,TZ,-2.632222222,36.62027778,Arusha
ARL,BF,11.58333333,1.483333333,Arly
ARM,AU,-29.47166667,151.6166667,Armidale
ARO,CO,,,Arboletas
ARP,PG,,,Aragip
ARQ,CO,,,Arauquita
ARR,AR,-44.98333333,-69.2,Alto Rio Senguerr
ARS,BR,-14.10055556,-51.75916667,Aragarcas
ART,US,43.99166667,-75.97833333,Watertown
ARU,BR,-20.85583333,-49.57361111,Aracatuba
ARV,US,45.92777778,-88.26916667,Minocqua
ARW,RO,46.17638889,21.26194444,Arad
ARX,US,,,Asbury Park
ARY,AU,-36.69055556,142.9886111,Ararat
ARZ,AO,-6.783333333,12.86666667,N'Zeto
ASA,ER,13.06666667,42.63333333,Assab
ASB,TM,37.986944,58.360833,Ashgabat
ASC,BO,,,Ascension
ASD,BS,24.70027778,-76.20055556,Andros Town
ASE,US,39.22305556,-105.1313889,Aspen
ASF,RU,46.28333333,48.005,Astrakhan
ASG,NZ,-42.09666667,171.7966667,Ashburton
ASH,US,42.78166667,-70.48527778,Nashua
ASI,SH,-6.030555556,-13.60638889,Georgetown
ASJ,JP,28.43083333,129.7125,Amami O-Shima
ASK,CI,6.905833333,-4.636111111,Yamoussoukro
ASL,US,,,Marshall
ASM,ER,15.291853,38.910667,Asmara
ASN,US,33.56944444,-85.94888889,Talladega
ASO,ET,,,Asosa
ASP,AU,-22.19166667,133.9008333,Alice Springs
ASQ,US,,,Austin
ASR,TR,38.77027778,35.49527778,Kayseri
AST,US,46.15777778,-122.1213889,Astoria
ASU,PY,-24.75916667,-56.48333333,Asuncion
ASV,KE,,,Amboseli
ASW,EG,23.96416667,32.81972222,Aswan
ASX,US,46.54833333,-89.08111111,Ashland
ASY,US,46.02361111,-98.6475,Ashley
ASZ,PG,,,Asirim
ATA,PE,-8.6525,-76.40166667,Anta
ATB,SD,17.70944444,34.05722222,Atbara
ATC,BS,24.63361111,-74.33416667,Arthur's Town
ATD,SB,,,Atoifi
ATE,US,,,Antlers
ATF,EC,-0.788055556,-77.42527778,Ambato
ATG,PK,,,Attock
ATH,GR,37.936389,23.947222,Athens
ATI,UY,-29.60083333,-55.48916667,Artigas
ATJ,MG,-18.16527778,47.06694444,Antsirabe
ATK,US,70.46722222,-156.5644444,Atqasuk
ATL,US,33.641658,-84.446517,Atlanta
ATM,BR,-2.749166667,-51.74777778,Altamira
ATN,PG,,,Namatanai
ATO,US,,,Athens
ATP,PG,,,Aitape
ATQ,IN,31.70444444,74.80194444,Amritsar
ATR,MR,20.50083333,-12.95361111,Atar
ATS,US,32.8525,-103.5325,Artesia
ATT,US,,,Atmautluak
ATU,US,52.8325,173.1755556,Attu Island
ATV,TD,13.23333333,18.31666667,Ati
ATW,US,44.25805556,-87.48111111,Appleton
ATX,KZ,,,Atbasar
ATY,US,44.91388889,-96.84527778,Watertown
ATZ,EG,27.04638889,31.01194444,Assiut
AUA,AW,12.50111111,-69.985,Aruba
AUB,BR,,,Itauba
AUC,CO,7.068888889,-69.26305556,Arauca
AUD,AU,,,Augustus Downs
AUE,EG,,,Abu Rudeis
AUG,US,44.32055556,-68.20277778,Augusta
AUH,AE,24.432972,54.651139,Abu Dhabi
AUI,PG,,,Aua Island
AUJ,PG,,,Ambunti
AUK,US,,,Alakanuk
AUL,MH,,,Aur Island
AUM,US,43.6625,-91.06722222,Austin
AUN,US,,,Auburn
AUO,US,32.615,-84.56611111,Auburn
AUP,PG,,,Agaun
AUQ,PF,,,Atuona
AUR,FR,44.8975,2.416666667,Aurillac
AUS,US,30.202622,-97.667615,"Austin, TX"
AUT,ID,,,Atauro
AUU,AU,-12.64611111,141.7208333,Aurukun Mission
AUW,US,44.92611111,-88.37305556,Wausau
AUX,BR,-6.771666667,-47.75916667,Araguaina
AUY,VU,,,Aneityum
AUZ,US,,,Aurora
AVB,IT,46.03,12.59861111,Aviano
AVF,FR,,,Avoriaz
AVG,AU,,,Auvergne
AVI,CU,22.02694444,-77.21055556,Ciego De Avila
AVK,MN,46.25027778,102.8025,Arvaikheer
AVL,US,35.43611111,-81.45833333,Asheville
AVN,FR,43.90638889,4.901944444,Avignon
AVO,US,27.59111111,-80.47111111,Avon Park
AVP,US,41.408969,75.6624122,Wilkes-Barre
AVU,SB,,,Avu Avu
AVV,AU,-37.96083333,144.4694444,Avalon
AVX,US,,,Catalina Island
AWA,ET,,,Awassa
AWB,PG,,,Awaba
AWD,VU,,,Aniwa
AWE,GA,,,Alowe
AWH,ET,,,Awareh
AWK,UM,19.28222222,166.6363889,Wake Island
AWM,US,35.135,-89.76555556,West Memphis
AWN,AU,,,Alton Downs
AWP,AU,,,Austral Downs
AWR,PG,,,Awar
AWZ,IR,31.3375,48.76027778,Ahwaz
AXA,AI,18.20472222,-62.94638889,Anguilla
AXC,AU,,,Aramac
AXD,GR,40.85583333,25.95611111,Alexandroupolis
AXG,US,,,Algona
AXK,YE,14.55111111,46.82583333,Ataq
AXL,AU,,,Alexandria
AXM,CO,4.451666667,-74.23388889,Armenia
AXN,US,45.86611111,-94.60555556,Alexandria
AXP,BS,22.45027778,-72.03416667,Spring Point
AXR,PF,,,Arutua
AXT,JP,39.61555556,140.2186111,Akita
AXU,ET,14.13694444,38.77583333,Axum
AXV,US,40.49333333,-83.70194444,Wapakoneta
AXX,US,36.42222222,-104.7102778,Angel Fire
AYA,CO,,,Ayapel
AYC,CO,,,Ayacucho
AYD,AU,,,Alroy Downs
AYE,US,,,Fort Devens
AYG,CO,,,Yaguara
AYH,GB,,,Alconbury
AYI,CO,,,Yari
AYK,KZ,,,Arkalyk
AYL,AU,,,Anthony Lagoon
AYN,CN,,,Anyang
AYP,PE,-12.84888889,-73.79833333,Ayacucho
AYQ,AU,-24.81388889,130.9755556,Ayers Rock
AYR,AU,,,Ayr
AYS,US,31.24833333,-81.60472222,Waycross
AYT,TR,36.90027778,30.79277778,Antalya
AYU,PG,,,Aiyura
AYW,ID,,,Ayawasi
AYZ,US,,,Amityville
AZB,PG,,,Amazon Bay
AZD,IR,31.90611111,54.27638889,Yazd
AZG,MX,19.1,-101.6333333,Apatzingan
AZN,UZ,40.72666667,72.29333333,Andizhan
AZO,US,42.23416667,-84.44861111,Kalamazoo
AZR,DZ,27.83916667,-0.181388889,Adrar
AZS,DO,19.27,-68.2625,Samana
AZT,CO,,,Zapatoca
AZZ,AO,-6.116666667,13.15,Ambriz
BAA,PG,,,Bialla
BAC,CO,,,Barranca de Upia
BAE,FR,,,Barcelonnette
BAF,US,42.1575,-71.28444444,Westfield
BAG,PH,16.375,120.6202778,Baguio
BAH,BH,26.270833,50.633611,Bahrain
BAI,CR,,,Buenos Aires
BAJ,PG,,,Bali
BAK,AZ,40.4675,50.046667,Baku
BAL,TR,37.93222222,41.11638889,Batman
BAM,US,40.59888889,-115.1258333,Battle Mountain
BAN,ZR,,,Basongo
BAO,TH,,,Ban Mak Khaeng
BAP,PG,,,Baibara
BAQ,CO,10.889589,-74.780819,Barranquilla
BAR,US,,,Baker Island
BAS,SB,,,Balalae
BAT,BR,-19.41444444,-47.40416667,Barretos
BAU,BR,-21.65638889,-48.94611111,Bauru
BAV,CN,,,Baotou
BAW,GA,,,Biawongue
BAX,RU,53.36333333,83.54,Barnaul
BAY,RO,47.65805556,23.46611111,Baia Mare
BAZ,BR,-0.952222222,-61.08055556,Barcelos
BBA,CL,-44.08361111,-70.31305556,Balmaceda
BBB,US,45.33166667,-94.34944444,Benson
BBC,US,,,Bay City
BBD,US,31.17916667,-98.67611111,Brady
BBE,AU,,,Big Bell
BBF,US,,,Burlington
BBG,KI,,,Butaritari
BBH,DE,54.33805556,12.71,Barth
BBI,IN,20.24666667,85.81833333,Bhubaneswar
BBJ,DE,49.94527778,6.565,Bitburg
BBK,BW,-16.16916667,25.1625,Kasane
BBL,IR,,,Babolsar
BBM,KH,13.09555556,103.2241667,Battambang
BBN,MY,,,Bario
BBO,SO,10.38333333,44.95,Berbera
BBP,GB,50.67805556,-0.890555556,Bembridge
BBQ,AG,,,Barbuda
BBR,GP,,,Basse Terre
BBS,GB,51.32388889,-0.819166667,Blackbushe
BBT,CF,4.226111111,15.78555556,Berberati
BBV,CI,,,Bereby
BBW,US,41.43638889,-98.35805556,Broken Bow
BBX,US,,,Blue Bell
BBY,CF,5.85,20.65,Bambari
BBZ,ZM,,,Zambezi
BCA,CU,20.36527778,-73.49388889,Baracoa
BCB,US,37.2075,-79.59222222,Blacksburg
BCC,US,,,Bear Creek
BCD,PH,10.77638889,123.0188889,Bacolod
BCE,US,37.70638889,-111.8544444,Bryce
BCF,CF,,,Bouca
BCG,GY,,,Bemichi
BCH,ID,-7.514722222,126.3991667,Baucau
BCI,AU,-22.43472222,145.3066667,Barcaldine
BCJ,US,,,Baca Grande
BCK,AU,,,Bolwarra
BCL,CR,,,Barra Colorado
BCM,RO,46.52194444,26.91027778,Bacau
BCN,ES,41.297078,2.078464,Barcelona
BCO,ET,,,Jinka
BCP,PG,,,Bambu
BCQ,LY,,,Brach
BCR,BR,-7.166388889,-66.68777778,Boca Do Acre
BCS,US,,,Belle Chasse
BCT,US,26.37833333,-79.8925,Boca Raton
BCU,NG,,,Bauchi
BCX,RU,,,Beloreck
BCY,ET,,,Bulchi
BCZ,AU,,,Bickerton Island
BDA,BM,32.36388889,-63.32138889,Bermuda
BDB,AU,-23.09611111,152.3186111,Bundaberg
BDC,BR,-4.499722222,-44.75777778,Barra Do Corda
BDD,AU,,,Badu Island
BDE,US,48.72833333,-93.38777778,Baudette
BDF,US,,,Bradford
BDG,US,37.58333333,-108.5169444,Blanding
BDH,IR,26.53138889,54.8275,Bandar Lengeh
BDI,SC,,,Bird Island
BDJ,ID,-2.560277778,114.7527778,Banjarmasin
BDK,CI,8.011388889,-1.235277778,Bondoukou
BDM,TR,40.31555556,27.98277778,Bandirma
BDN,PK,,,Badin
BDO,ID,-5.098055556,107.5761111,Bandung
BDP,NP,,,Bhadrapur
BDQ,IN,22.33,73.21888889,Vadodara
BDR,US,41.16333333,-72.87388889,Bridgeport
BDS,IT,40.66055556,17.94805556,Brindisi
BDT,ZR,4.25,20.96666667,Gbadolite
BDU,NO,69.05583333,18.54027778,Bardufoss
BDV,ZR,,,Moba
BDW,AU,,,Bedford Downs
BDX,US,,,Broadus
BDY,US,,,Bandon
BDZ,PG,,,Baindoung
BEA,PG,,,Bereina
BEB,GB,57.48111111,-6.637222222,Benbecula
BED,US,42.46972222,-70.71111111,Bedford
BEE,AU,,,Beagle Bay
BEF,NI,11.99055556,-82.22583333,Bluefields
BEG,RS,44.819444,20.306944,Belgrade
BEH,US,42.12833333,-85.57166667,Benton Harbor
BEI,ET,9.386388889,34.52194444,Beica
BEJ,ID,,,Berau
BEK,IN,,,Rae Bareli
BEL,BR,-0.615277778,-47.52111111,Belem
BEM,CF,,,Bossembele
BEN,LY,32.09666667,20.26944444,Benghazi
BEP,IN,,,Bellary
BER,DE,52.559686,13.287711,Berlin
BES,FR,48.44694444,-3.578333333,Brest
BET,US,60.77833333,-160.1630556,Bethel
BEU,AU,-23.65388889,139.4602778,Bedourie
BEV,IL,,,Beer Sheba
BEW,MZ,-18.20444444,34.90472222,Beira
BEX,GB,51.61611111,-0.904444444,Benson
BEY,LB,33.820931,35.488389,Beirut
BEZ,KI,,,Beru
BFB,US,,,Blue Fox Bay
BFC,AU,,,Bloomfield
BFD,US,41.80305556,-77.36,Bradford
BFE,DE,51.96472222,8.544722222,Bielefeld
BFF,US,41.87388889,-102.4044444,Scottsbluff
BFG,US,,,Bullfrog Basin
BFJ,FJ,,,Ba
BFL,US,35.43361111,-118.9425,Bakersfield
BFN,ZA,-28.90638889,26.30388889,Bloemfontein
BFO,ZW,-20.99,31.57944444,Buffalo Range
BFP,US,,,Beaver Falls
BFR,US,38.84,-85.55472222,Bedford
BFS,GB,54.6575,-6.215833,Belfast City
BFT,US,32.41194444,-79.36583333,Beaufort
BFU,CN,,,Bengbu
BFX,CM,5.534722222,10.35583333,Bafoussam
BGA,CO,7.126389,-73.184722,Bucarmanga
BGB,GA,,,Booue
BGC,PT,,,Braganca
BGD,US,35.70083333,-100.6063889,Borger
BGE,US,30.97138889,-83.36333333,Bainbridge
BGF,CF,4.3975,18.51972222,Bangui
BGG,CI,,,Bongouanou
BGH,MR,,,Boghe
BGI,BB,13.07444444,-58.50805556,Barbados
BGJ,IS,,,Borgarfjordur Eystri
BGK,BZ,,,Big Creek
BGL,NP,,,Baglung
BGM,US,42.20833333,-74.02027778,Binghamton
BGN,DE,51.2,6.133333333,Brueggen
BGO,NO,60.29361111,5.218055556,Bergen
BGP,GA,,,Bongo
BGQ,US,61.53611111,-148.1861111,Big Lake
BGR,US,44.80722222,-67.17194444,Bangor
BGT,US,,,Bagdad
BGU,CF,4.783333333,22.78333333,Bangassou
BGV,BR,,,Bento Goncalves
BGW,IQ,33.2625,44.234444,Baghdad
BGX,BR,-30.60916667,-53.89027778,Bage
BGZ,PT,41.585,-7.55,Braga
BHA,EC,-0.592222222,-79.59722222,Bahia de Caraquez
BHB,US,44.44972222,-67.63861111,Bar Harbor
BHE,NZ,-40.48166667,173.8702778,Blenheim
BHF,CO,,,Bahia Cupica
BHG,HN,,,Brus Laguna
BHH,SA,19.98416667,42.62305556,Bisha
BHI,AR,-37.27277778,-61.84666667,Bahia Blanca
BHJ,IN,23.28666667,69.67,Bhuj
BHK,UZ,39.775,64.48333333,Bukhara
BHL,MX,,,Bahia de los Angeles
BHM,US,33.56388889,-85.24777778,"Birmingham, AL"
BHN,YE,14.78333333,45.71666667,Beihan
BHO,IN,23.28694444,77.33666667,Bhopal
BHP,NP,,,Bhojpur
BHQ,AU,-31.99861111,141.4716667,Broken Hill
BHR,NP,,,Bharatpur
BHS,AU,-32.59055556,149.6519444,Bathurst
BHT,AU,,,Brighton Downs
BHU,IN,21.75416667,72.19055556,Bhavnagar
BHV,PK,29.34694444,71.71138889,Bahawalpur
BHX,GB,52.453856,-1.748028,"Birmingham, GB"
BHY,CN,,,Beihai
BHZ,BR,-19.623889,-43.971389,Belo Horizonte
BIA,FR,42.55,9.484722,Bastia
BIB,SO,,,Baidoa
BIC,US,,,Big Creek
BID,US,,,Block Island
BIE,US,40.30111111,-95.24611111,Beatrice
BIG,US,63.995,-144.28,Big Delta
BIH,US,37.37305556,-117.6363889,Bishop
BII,MH,,,Bikini Atoll
BIJ,PG,,,Biliau
